Points:0;Points:1;Points:2;Young Modulus
-40;-30;75;195840
-40;-80;45;398624
-45;-85;45;526083
-40;-85;25;391177
-45;-85;30;399766
-40;-90;45;375060
-45;-95;45;229740
-40;-90;40;439490
-40;-95;40;332199
-40;-90;50;200332
-45;-95;50;106470
-40;-95;45;204654
-40;-80;60;298720
-30;-70;65;388391
-30;-70;70;426699
-35;-20;70;266911
-45;-85;15;619340
-45;-80;15;324969
-40;-80;10;318101
-40;-90;5;442731
-40;-80;15;413861
-40;-75;20;221346
-40;-80;65;149078
-45;-95;5;323267
-45;-95;20;490436
-45;-95;15;378107
-40;-90;15;546476
-45;-80;20;342272
-40;-90;10;458476
-40;-95;10;367358
-35;-20;65;280132
-20;-10;35;432226
-15;-5;30;210825
-15;-5;35;354210
-40;-85;10;569600
-45;-90;25;450396
-45;-95;40;417667
-40;-90;35;380828
-40;-95;35;375804
-25;-30;70;559015
-25;-25;70;577234
-25;-25;75;608444
-20;-25;70;559015
-45;-90;30;465411
-45;-90;35;454924
-35;-85;40;414622
-45;-90;40;501655
-30;-35;80;430679
-35;-40;80;192102
-45;-90;45;328358
-45;-90;50;186555
-45;-90;55;280362
-35;-35;60;416739
-40;-40;65;143523
-35;-35;65;378804
-40;-40;70;111309
-35;-35;70;525229
-30;-30;25;317168
-30;-35;25;189506
-30;-80;40;333185
-30;-80;35;452692
-30;-85;35;462842
-40;-95;15;404541
-45;-100;15;280613
-40;-100;10;257246
-40;-95;25;428770
-45;-100;25;325347
-40;-95;20;433917
-40;-100;20;437565
-40;-95;30;503458
-45;-100;30;400036
-40;-100;25;457966
-45;-100;35;293550
-40;-100;30;496818
-40;-90;30;474900
-45;-95;30;494212
-40;-90;25;410850
-45;-100;40;257279
-40;-100;35;354718
-45;-100;45;253389
-40;-100;40;299215
-30;-65;90;467807
-25;-60;85;568647
-30;-60;90;571936
-25;-60;90;745066
-45;-95;10;312198
-45;-95;35;400971
-45;-95;25;494704
-40;-90;20;483280
-35;-40;90;278423
-30;-35;85;389293
-35;-35;90;256266
-30;-35;90;404704
-35;-75;80;257109
-35;-75;75;266795
-35;-70;80;283569
-30;-70;75;404122
-30;-20;5;430009
-30;-15;10;413516
-30;-30;35;365106
-30;-35;35;244202
-45;-100;20;414822
-40;-100;15;296964
-35;-40;85;182502
-35;-35;85;199342
